neighborhood,population
la Nova Esquerra de l'Eixample,2147
la Nova Esquerra de l'Eixample,1611
la Nova Esquerra de l'Eixample,1825
Sant Antoni,1543
Sant Antoni,1505
Sant Antoni,1256
Sant Antoni,1333
Sant Antoni,1087
Sant Antoni,1857
Sant Antoni,1273
Sant Antoni,1217
Sant Antoni,1605
Sant Antoni,1976
Sant Antoni,1993
Sant Antoni,1198
Sant Antoni,1407
Sant Antoni,1845
Sant Antoni,1467
Sant Antoni,1716
Sant Antoni,2119
Sant Antoni,2128
Sant Antoni,2278
Sant Antoni,1535
Sant Antoni,1555
Sant Antoni,1673
Sant Antoni,1601
Sant Antoni,1533
el Poble-sec,1695
el Poble-sec,1908
el Poble-sec,1702
el Poble-sec,1635
el Poble-sec,1205
el Poble-sec,1412
el Poble-sec,1703
el Poble-sec,1180
el Poble-sec,1233
el Poble-sec,1931
el Poble-sec,1774
el Poble-sec,2170
el Poble-sec,1814
el Poble-sec,1819
el Poble-sec,3032
el Poble-sec,1259
el Poble-sec,1700
el Poble-sec,1734
el Poble-sec,1544
el Poble-sec,1206
el Poble-sec,1075
el Poble-sec,1456
el Poble-sec,1936
el Poble-sec,2081
la Marina del Prat Vermell,1356
la Marina de Port,1015
la Marina de Port,1763
la Marina de Port,2664
la Marina de Port,1302
la Marina de Port,1578
la Marina de Port,2411
la Marina de Port,1716
la Marina de Port,1489
la Marina de Port,1517
la Marina de Port,1539
la Marina de Port,2261
la Marina de Port,2403
la Marina de Port,1027
la Marina de Port,2469
la Marina de Port,2431
la Marina de Port,958
la Marina de Port,2549
la Font de la Guatlla,1466
la Font de la Guatlla,1403
la Font de la Guatlla,1388
la Font de la Guatlla,1618
la Font de la Guatlla,1885
la Font de la Guatlla,1060
la Font de la Guatlla,1419
Hostafrancs,1766
Hostafrancs,1327
Hostafrancs,1661
Hostafrancs,1642
Hostafrancs,1964
Hostafrancs,1325
Hostafrancs,2215
Hostafrancs,1638
Hostafrancs,1623
Hostafrancs,941
la Bordeta,1466
la Bordeta,1743
la Bordeta,1205
la Bordeta,1406
la Bordeta,1140
la Bordeta,1540
la Bordeta,1946
la Bordeta,1205
la Bordeta,1344
la Bordeta,2317
la Bordeta,1765
la Bordeta,1178
la Bordeta,1196
Sants - Badal,1354
Sants - Badal,1349
Sants - Badal,1447
Sants - Badal,1579
Sants - Badal,1822
Sants - Badal,1752
Sants - Badal,1102
Sants - Badal,1338
Sants - Badal,1752
Sants - Badal,1827
Sants - Badal,1541
Sants - Badal,1967
Sants - Badal,1903
Sants - Badal,1393
Sants - Badal,1414
Sants - Badal,1363
Sants,1241
Sants,1444
Sants,1444
Sants,1254
Sants,998
Sants,1485
Sants,1216
Sants,1507
Sants,1230
Sants,1634
Sants,1589
Sants,1690
Sants,1445
Sants,988
Sants,1328
Sants,4276
Sants,1305
Sants,1148
Sants,1431
Sants,1191
Sants,1273
Sants,1648
Sants,1664
Sants,1541
Sants,1493
Sants,1295
Sants,1847
Sants,1605
Sants,1469
les Corts,1258
les Corts,1917
les Corts,1025
les Corts,988
les Corts,1225
les Corts,1100
les Corts,1062
les Corts,1001
les Corts,1461
les Corts,898
les Corts,1740
les Corts,1376
les Corts,1208
les Corts,820
les Corts,1879
les Corts,1102
les Corts,1195
les Corts,1511
les Corts,1335
les Corts,1488
les Corts,1279
les Corts,1615
les Corts,1045
les Corts,1032
les Corts,1171
les Corts,1203
les Corts,1338
les Corts,1317
les Corts,1116
les Corts,1844
les Corts,1896
les Corts,1525
les Corts,1147
les Corts,1468
les Corts,1358
la Maternitat i Sant Ramon,1737
la Maternitat i Sant Ramon,2088
la Maternitat i Sant Ramon,1259
la Maternitat i Sant Ramon,1185
la Maternitat i Sant Ramon,1604
la Maternitat i Sant Ramon,1339
la Maternitat i Sant Ramon,1753
la Maternitat i Sant Ramon,1613
la Maternitat i Sant Ramon,1568
la Maternitat i Sant Ramon,1421
la Maternitat i Sant Ramon,2413
la Maternitat i Sant Ramon,1848
la Maternitat i Sant Ramon,1489
la Maternitat i Sant Ramon,1156
la Maternitat i Sant Ramon,1352
Pedralbes,2028
Pedralbes,1635
Pedralbes,2192
Pedralbes,1690
Pedralbes,998
Pedralbes,1505
Pedralbes,1760
"Vallvidrera, el Tibidabo i les Planes",1787
"Vallvidrera, el Tibidabo i les Planes",1586
"Vallvidrera, el Tibidabo i les Planes",1387
Sarria,1113
Sarria,1231
Sarria,1772
Sarria,1840
Sarria,1686
Sarria,1716
Sarria,1516
Sarria,1412
Sarria,1347
Sarria,1665
Sarria,1592
Sarria,1527
Sarria,1857
Sarria,1556
Sarria,1255
Sarria,1684
les Tres Torres,1155
les Tres Torres,1289
les Tres Torres,1747
les Tres Torres,1468
les Tres Torres,1907
les Tres Torres,1309
les Tres Torres,1405
les Tres Torres,1405
les Tres Torres,1641
les Tres Torres,1631
les Tres Torres,1399
Sant Gervasi - la Bonanova,1625
Sant Gervasi - la Bonanova,1835
Sant Gervasi - la Bonanova,1424
Sant Gervasi - la Bonanova,1326
Sant Gervasi - la Bonanova,1037
Sant Gervasi - la Bonanova,1708
Sant Gervasi - la Bonanova,1451
Sant Gervasi - la Bonanova,1348
Sant Gervasi - la Bonanova,1537
Sant Gervasi - la Bonanova,1436
Sant Gervasi - la Bonanova,1939
Sant Gervasi - la Bonanova,1293
Sant Gervasi - la Bonanova,1464
Sant Gervasi - la Bonanova,1326
Sant Gervasi - la Bonanova,1615
Sant Gervasi - la Bonanova,1138
Sant Gervasi - la Bonanova,1234
Sant Gervasi - la Bonanova,1248
Sant Gervasi - Galvany,1665
Sant Gervasi - Galvany,1621
Sant Gervasi - Galvany,1611
Sant Gervasi - Galvany,1438
Sant Gervasi - Galvany,1503
Sant Gervasi - Galvany,1047
Sant Gervasi - Galvany,1407
Sant Gervasi - Galvany,1201
Sant Gervasi - Galvany,1662
Sant Gervasi - Galvany,1552
Sant Gervasi - Galvany,1546
Sant Gervasi - Galvany,1157
Sant Gervasi - Galvany,1460
Sant Gervasi - Galvany,1636
Sant Gervasi - Galvany,1551
Sant Gervasi - Galvany,1606
Sant Gervasi - Galvany,1652
Sant Gervasi - Galvany,1343
Sant Gervasi - Galvany,1246
Sant Gervasi - Galvany,1536
Sant Gervasi - Galvany,1745
Sant Gervasi - Galvany,1440
Sant Gervasi - Galvany,1628
Sant Gervasi - Galvany,1723
Sant Gervasi - Galvany,1609
Sant Gervasi - Galvany,1668
Sant Gervasi - Galvany,1851
Sant Gervasi - Galvany,1416
Sant Gervasi - Galvany,1448
Sant Gervasi - Galvany,2109
Sant Gervasi - Galvany,1269
el Putxet i el Farro,1376
el Putxet i el Farro,1610
el Putxet i el Farro,1637
el Putxet i el Farro,1277
el Putxet i el Farro,1344
el Putxet i el Farro,1332
el Putxet i el Farro,1347
el Putxet i el Farro,1598
el Putxet i el Farro,1757
el Putxet i el Farro,1788
el Putxet i el Farro,1906
el Putxet i el Farro,1555
el Putxet i el Farro,1622
el Putxet i el Farro,1104
el Putxet i el Farro,2711
el Putxet i el Farro,1688
el Putxet i el Farro,1150
el Putxet i el Farro,1621
el Putxet i el Farro,1563
Vallcarca i els Penitents,1185
Vallcarca i els Penitents,1538
Vallcarca i els Penitents,2294
Vallcarca i els Penitents,1447
Vallcarca i els Penitents,1030
Vallcarca i els Penitents,1967
Vallcarca i els Penitents,2004
Vallcarca i els Penitents,1289
Vallcarca i els Penitents,1077
Vallcarca i els Penitents,1315
Vallcarca i els Penitents,1179
el Coll,1801
el Coll,1457
el Coll,1441
el Coll,1641
el Coll,1348
la Salut,1348
la Salut,1495
la Salut,1176
la Salut,1380
la Salut,1370
la Salut,1302
la Salut,1736
la Salut,1407
la Salut,1025
la Salut,1216
la Vila de Gracia,1328
la Vila de Gracia,1285
la Vila de Gracia,1353
la Vila de Gracia,1106
la Vila de Gracia,1169
la Vila de Gracia,1288
la Vila de Gracia,1217
la Vila de Gracia,1074
la Vila de Gracia,1486
la Vila de Gracia,1144
la Vila de Gracia,1486
la Vila de Gracia,1585
la Vila de Gracia,1666
la Vila de Gracia,1739
la Vila de Gracia,1693
la Vila de Gracia,1270
la Vila de Gracia,1568
la Vila de Gracia,1308
la Vila de Gracia,1147
la Vila de Gracia,1222
la Vila de Gracia,1413
la Vila de Gracia,1166
la Vila de Gracia,1335
la Vila de Gracia,1240
la Vila de Gracia,1507
la Vila de Gracia,1493
la Vila de Gracia,1625
la Vila de Gracia,1434
la Vila de Gracia,1568
la Vila de Gracia,1533
la Vila de Gracia,1722
la Vila de Gracia,1505
la Vila de Gracia,1776
la Vila de Gracia,1300
la Vila de Gracia,1212
la Vila de Gracia,1493
el Camp d'en Grassot i Gracia Nova,1926
el Camp d'en Grassot i Gracia Nova,1160
el Camp d'en Grassot i Gracia Nova,983
el Camp d'en Grassot i Gracia Nova,1770
el Camp d'en Grassot i Gracia Nova,1555
el Camp d'en Grassot i Gracia Nova,1085
el Camp d'en Grassot i Gracia Nova,1840
el Camp d'en Grassot i Gracia Nova,1094
el Camp d'en Grassot i Gracia Nova,1646
el Camp d'en Grassot i Gracia Nova,1377
el Camp d'en Grassot i Gracia Nova,1148
el Camp d'en Grassot i Gracia Nova,1070
el Camp d'en Grassot i Gracia Nova,1302
el Camp d'en Grassot i Gracia Nova,1189
el Camp d'en Grassot i Gracia Nova,1298
el Camp d'en Grassot i Gracia Nova,1129
el Camp d'en Grassot i Gracia Nova,1176
el Camp d'en Grassot i Gracia Nova,1327
el Camp d'en Grassot i Gracia Nova,2705
